Entity	Label1	Label2
http://purl.obolibrary.org/obo/LANG_1000113	Nanubae	
http://purl.obolibrary.org/obo/LANG_1000114	Defaka	
http://purl.obolibrary.org/obo/LANG_1000115	Eloyi	
http://purl.obolibrary.org/obo/LANG_1000116	Tapei	
http://purl.obolibrary.org/obo/LANG_1000117	Afrikaans	Afrikaans
http://purl.obolibrary.org/obo/LANG_1000118	Afro-Seminole Creole	
http://purl.obolibrary.org/obo/LANG_1000119	Afitti	
http://purl.obolibrary.org/obo/LANG_1000120	Awutu	
http://purl.obolibrary.org/obo/LANG_1000121	Obokuitai	
http://purl.obolibrary.org/obo/LANG_1000122	Aguano	
http://purl.obolibrary.org/obo/LANG_1000123	Legbo	
http://purl.obolibrary.org/obo/LANG_1000124	Agatu	
http://purl.obolibrary.org/obo/LANG_1000125	Agarabi	
http://purl.obolibrary.org/obo/LANG_1000126	Angal	
http://purl.obolibrary.org/obo/LANG_1000127	Arguni	
http://purl.obolibrary.org/obo/LANG_1000128	Angor	
http://purl.obolibrary.org/obo/LANG_1000129	Ngelima	
http://purl.obolibrary.org/obo/LANG_1000130	Agariya	
http://purl.obolibrary.org/obo/LANG_1000131	Argobba	
http://purl.obolibrary.org/obo/LANG_1000132	Isarog Agta	
http://purl.obolibrary.org/obo/LANG_1000133	Fembe	
http://purl.obolibrary.org/obo/LANG_1000134	Angaataha	
http://purl.obolibrary.org/obo/LANG_1000135	Agutaynen	
http://purl.obolibrary.org/obo/LANG_1000136	Tainae	
http://purl.obolibrary.org/obo/LANG_1000137	Aghem	
http://purl.obolibrary.org/obo/LANG_1000138	Aguaruna	
http://purl.obolibrary.org/obo/LANG_1000139	Esimbi	
http://purl.obolibrary.org/obo/LANG_1000140	Central Cagayan Agta	
http://purl.obolibrary.org/obo/LANG_1000141	Aguacateco	
http://purl.obolibrary.org/obo/LANG_1000142	Remontado Dumagat	
http://purl.obolibrary.org/obo/LANG_1000143	Kahua	
http://purl.obolibrary.org/obo/LANG_1000144	Aghul	
http://purl.obolibrary.org/obo/LANG_1000145	Southern Alta	
http://purl.obolibrary.org/obo/LANG_1000146	Mt. Iriga Agta	
http://purl.obolibrary.org/obo/LANG_1000147	Ahanta	
http://purl.obolibrary.org/obo/LANG_1000148	Axamb	
http://purl.obolibrary.org/obo/LANG_1000149	Qimant	
http://purl.obolibrary.org/obo/LANG_1000150	Aghu	
http://purl.obolibrary.org/obo/LANG_1000151	Tiagbamrin Aizi	
http://purl.obolibrary.org/obo/LANG_1000152	Akha	
http://purl.obolibrary.org/obo/LANG_1000153	Igo	
http://purl.obolibrary.org/obo/LANG_1000154	Mobumrin Aizi	
http://purl.obolibrary.org/obo/LANG_1000155	Àhàn	
http://purl.obolibrary.org/obo/LANG_1000156	Ahom	
http://purl.obolibrary.org/obo/LANG_1000157	Aproumu Aizi	
http://purl.obolibrary.org/obo/LANG_1000158	Ahirani	
http://purl.obolibrary.org/obo/LANG_1000159	Ashe	
http://purl.obolibrary.org/obo/LANG_1000160	Ahtena	
http://purl.obolibrary.org/obo/LANG_1000161	Arosi	
http://purl.obolibrary.org/obo/LANG_1000162	Ainu (China)	
http://purl.obolibrary.org/obo/LANG_1000163	Ainbai	
http://purl.obolibrary.org/obo/LANG_1000164	Alngith	
http://purl.obolibrary.org/obo/LANG_1000165	Amara	
http://purl.obolibrary.org/obo/LANG_1000166	Agi	
http://purl.obolibrary.org/obo/LANG_1000167	Antigua and Barbuda Creole English	
http://purl.obolibrary.org/obo/LANG_1000168	Ai-Cham	
http://purl.obolibrary.org/obo/LANG_1000169	Assyrian Neo-Aramaic	
http://purl.obolibrary.org/obo/LANG_1000170	Lishanid Noshan	
http://purl.obolibrary.org/obo/LANG_1000171	Ake	
http://purl.obolibrary.org/obo/LANG_1000172	Aimele	
http://purl.obolibrary.org/obo/LANG_1000173	Aimol	
http://purl.obolibrary.org/obo/LANG_1000174	Ainu (Japan)	Ainu-Sprache
http://purl.obolibrary.org/obo/LANG_1000175	Aiton	
http://purl.obolibrary.org/obo/LANG_1000176	Burumakok	
http://purl.obolibrary.org/obo/LANG_1000177	Aimaq	
http://purl.obolibrary.org/obo/LANG_1000178	Airoran	
http://purl.obolibrary.org/obo/LANG_1000179	Arikem	
http://purl.obolibrary.org/obo/LANG_1000180	Aari	
http://purl.obolibrary.org/obo/LANG_1000181	Aighon	
http://purl.obolibrary.org/obo/LANG_1000182	Ali	
http://purl.obolibrary.org/obo/LANG_1000183	Aja (South Sudan)	
http://purl.obolibrary.org/obo/LANG_1000184	Aja (Benin)	
http://purl.obolibrary.org/obo/LANG_1000185	Ajië	
http://purl.obolibrary.org/obo/LANG_1000186	Andajin	
http://purl.obolibrary.org/obo/LANG_1000187	South Levantine Arabic	
http://purl.obolibrary.org/obo/LANG_1000188	Judeo-Tunisian Arabic	
http://purl.obolibrary.org/obo/LANG_1000189	Judeo-Moroccan Arabic	
http://purl.obolibrary.org/obo/LANG_1000190	Ajawa	
http://purl.obolibrary.org/obo/LANG_1000191	Amri Karbi	
http://purl.obolibrary.org/obo/LANG_1000192	Akan	Akan-Sprache
http://purl.obolibrary.org/obo/LANG_1000193	Batak Angkola	
http://purl.obolibrary.org/obo/LANG_1000194	Mpur	
http://purl.obolibrary.org/obo/LANG_1000195	Ukpet-Ehom	
http://purl.obolibrary.org/obo/LANG_1000196	Akawaio	
http://purl.obolibrary.org/obo/LANG_1000197	Akpa	
http://purl.obolibrary.org/obo/LANG_1000198	Anakalangu	
http://purl.obolibrary.org/obo/LANG_1000199	Angal Heneng	
http://purl.obolibrary.org/obo/LANG_1000200	Aiome	
http://purl.obolibrary.org/obo/LANG_1000201	Aka-Jeru	
http://purl.obolibrary.org/obo/LANG_1000202	Akkadian	Akkadisch
http://purl.obolibrary.org/obo/LANG_1000203	Aklanon	
http://purl.obolibrary.org/obo/LANG_1000204	Aka-Bo	
http://purl.obolibrary.org/obo/LANG_1000205	Akurio	
http://purl.obolibrary.org/obo/LANG_1000206	Siwu	
http://purl.obolibrary.org/obo/LANG_1000207	Ak	
http://purl.obolibrary.org/obo/LANG_1000208	Araki	
http://purl.obolibrary.org/obo/LANG_1000209	Akaselem	
http://purl.obolibrary.org/obo/LANG_1000210	Akolet	
http://purl.obolibrary.org/obo/LANG_1000211	Akum	
http://purl.obolibrary.org/obo/LANG_1000212	Akhvakh	
http://purl.obolibrary.org/obo/LANG_1000213	Akwa	
http://purl.obolibrary.org/obo/LANG_1000214	Aka-Kede	
http://purl.obolibrary.org/obo/LANG_1000215	Aka-Kol	
http://purl.obolibrary.org/obo/LANG_1000216	Alabama	
http://purl.obolibrary.org/obo/LANG_1000217	Alago	
